Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
Frame: 10 7/16 × 14 13/16 in. (26.5 × 37.7 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheet: 21 5/16 × 16 5/16 in. (54.2 × 41.5 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Book: 21 7/8 × 16 3/4 × 1 15/16 in. (55.5 × 42.5 × 5 cm)""","Rogers Fund, 1921",,,,,,,,,,,,Books|Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/757408,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 12 13/16 × 11 5/8 in. (32.5 × 29.5 cm)""","Rogers Fund, 1922",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/757414,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
Frame: 9 3/4 × 13 5/16 in. (24.8 × 33.8 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheet: 21 5/16 × 16 5/16 in. (54.2 × 41.5 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Book: 21 7/8 × 16 3/4 × 1 15/16 in. (55.5 × 42.5 × 5 cm)""","Rogers Fund, 1921",,,,,,,,,,,,Books|Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/757421,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 11 15/16 × 9 5/8 in. (30.3 × 24.4 cm)""","Rogers Fund, 1922",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/757422,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 11 13/16 × 12 3/16 in. (30 × 30.9 cm)""","Rogers Fund, 1922",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/757426,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
Frame: 10 7/16 × 14 13/16 in. (26.5 × 37.7 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheet: 21 5/16 × 16 5/16 in. (54.2 × 41.5 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Book: 21 7/8 × 16 3/4 × 1 15/16 in. (55.5 × 42.5 × 5 cm)""","Rogers Fund, 1921",,,,,,,,,,,,Books|Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/757428,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 11 15/16 × 12 1/8 in. (30.4 × 30.8 cm)""","Rogers Fund, 1922",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/757430,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 11 7/8 × 10 7/8 in. (30.2 × 27.7 cm)""","Rogers Fund, 1922",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/757434,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 14 3/16 × 9 5/8 in. (36 × 24.5 cm)""","Rogers Fund, 1922",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/757439,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
Frame: 10 7/8 in. × 13 in. (27.6 × 33 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheet: 21 5/16 × 16 5/16 in. (54.2 × 41.5 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Book: 21 7/8 × 16 3/4 × 1 15/16 in. (55.5 × 42.5 × 5 cm)""","Rogers Fund, 1921",,,,,,,,,,,,Books|Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/757442,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
Frame: 9 1/2 × 14 5/16 in. (24.2 × 36.4 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheet: 21 5/16 × 16 5/16 in. (54.2 × 41.5 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Book: 21 7/8 × 16 3/4 × 1 15/16 in. (55.5 × 42.5 × 5 cm)""","Rogers Fund, 1921",,,,,,,,,,,,Books|Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/757456,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
Frame: 9 15/16 × 13 3/16 in. (25.3 × 33.5 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheet: 21 5/16 × 16 5/16 in. (54.2 × 41.5 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Book: 21 7/8 × 16 3/4 × 1 15/16 in. (55.5 × 42.5 × 5 cm)""","Rogers Fund, 1921",,,,,,,,,,,,Books|Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/757458,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Plate: 11 5/8 × 15 3/8 in. (29.5 × 39 cm)""","Bequest of Charles Allen Munn, 1924",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/757471,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
Frame: 9 5/8 × 13 3/4 in. (24.4 × 35 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheet: 21 5/16 × 16 5/16 in. (54.2 × 41.5 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Book: 21 7/8 × 16 3/4 × 1 15/16 in. (55.5 × 42.5 × 5 cm)""","Rogers Fund, 1921",,,,,,,,,,,,Books|Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/757479,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"4 3/4 × 7 1/2 in. (12.1 × 19.1 cm)""",Bibliothèque nationale de France (EG5-736),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757483,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"9 1/2 × 3 3/4 in. (24.2 × 9.6 cm)""",Bibliothèque nationale de France (EG7-742),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757484,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"3 11/16 × 9 1/2 in. (9.4 × 24.1 cm)""",Bibliothèque nationale de France (EG7-877),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757485,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"4 3/4 × 3 3/4 in. (12.1 × 9.6 cm)""",Bibliothèque nationale de France (EG3-873),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757486,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"4 3/4 × 3 3/4 in. (12.1 × 9.6 cm)""",Bibliothèque nationale de France (EG3-721),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757487,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"3 13/16 × 4 13/16 in. (9.7 × 12.2 cm)""",Bibliothèque nationale de France (EG3-725),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757489,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"3 3/4 × 3 1/4 in. (9.5 × 8.2 cm)""",Bibliothèque nationale de France (EG2-869),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757490,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"3 3/4 × 3 5/16 in. (9.6 × 8.4 cm)""",Bibliothèque nationale de France (EG2-700),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757491,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"3 3/16 × 3 11/16 in. (8.1 × 9.4 cm)""",Bibliothèque nationale de France (EG2-708),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757493,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"3 1/4 × 3 13/16 in. (8.2 × 9.7 cm)""",Bibliothèque nationale de France (EG2-710),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757494,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"9 1/2 × 7 3/8 in. (24.1 × 18.8 cm)""",Bibliothèque nationale de France (EG7-553),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757495,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"7 3/8 × 8 3/8 in. (18.8 × 21.2 cm)""",Bibliothèque nationale de France (EG7-554),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757496,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"7 7/16 × 9 1/2 in. (18.9 × 24.2 cm)""",Bibliothèque nationale de France (EG7-557),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757497,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"7 7/16 × 9 1/2 in. (18.9 × 24.2 cm)""",Bibliothèque nationale de France (EG7-868),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757498,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"4 3/4 × 7 1/2 in. (12 × 19 cm)""",Bibliothèque nationale de France (EG7-550),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757499,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"9 7/16 × 7 3/8 in. (23.9 × 18.7 cm)""",Bibliothèque nationale de France (EG7-750),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757501,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"7 7/16 × 9 5/8 in. (18.9 × 24.5 cm)""",Bibliothèque nationale de France (EG7-752),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757502,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"7 1/2 × 9 1/2 in. (19.1 × 24.1 cm)""",Bibliothèque nationale de France (EG7-753),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757503,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"7 1/2 × 9 1/2 in. (19.1 × 24.1 cm)""",Bibliothèque nationale de France (EG7-754),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757504,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"4 13/16 × 7 1/2 in. (12.2 × 19.1 cm)""",Bibliothèque nationale de France (EG5-874),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757505,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"3 3/4 × 9 1/2 in. (9.6 × 24.2 cm)""",Bibliothèque nationale de France (EG7-751),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757506,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"9 1/2 × 3 3/4 in. (24.1 × 9.5 cm)""",Bibliothèque nationale de France (EG7-875),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757507,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"7 7/16 × 9 7/16 in. (18.9 × 24 cm)""",Bibliothèque nationale de France (EG7-760),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757508,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"7 3/8 × 9 1/2 in. (18.8 × 24.1 cm)""",Bibliothèque nationale de France (EG7-761),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757509,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"3 13/16 × 2 3/4 in. (9.7 × 7 cm)""",Bibliothèque nationale de France (EG2-828),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757512,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"7 3/8 × 9 9/16 in. (18.8 × 24.3 cm)""",Bibliothèque nationale de France (EG7-881),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757513,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"4 3/4 × 7 1/2 in. (12.1 × 19 cm)""",Bibliothèque nationale de France (EG5-878),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757514,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"3 3/4 × 9 7/16 in. (9.5 × 24 cm)""",Bibliothèque nationale de France (EG7-755),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757516,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"3 3/4 × 9 7/16 in. (9.5 × 24 cm)""",Bibliothèque nationale de France (EG7-764),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757519,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"3 11/16 × 4 11/16 in. (9.3 × 11.9 cm)""",Bibliothèque nationale de France (EG3-857),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757520,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"9 1/2 × 3 3/4 in. (24.2 × 9.6 cm)""",Bibliothèque nationale de France (EG7-746),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757523,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"3 11/16 × 9 1/2 in. (9.4 × 24.1 cm)""",Bibliothèque nationale de France (EG7-747),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757524,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"3 3/4 × 9 1/2 in. (9.6 × 24.1 cm)""",Bibliothèque nationale de France (EG7-748),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757525,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"3 1/4 × 3 3/4 in. (8.3 × 9.6 cm)""",Bibliothèque nationale de France (EG2-871),,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757528,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"7 3/8 × 4 11/16 in. (18.7 × 11.9 cm)""","The J. Paul Getty Museum, Los Angeles (2004.19.1)",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757537,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"4 11/16 × 7 3/8 in. (11.9 × 18.7 cm)""","The J. Paul Getty Museum, Los Angeles (2004.79.2)",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757540,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
Plate: 7 3/8 in. (18.7 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7 7/16 × 9 1/2 in. (18.9 × 24.1 cm)""","The J. Paul Getty Museum, Los Angeles (2003.82.6)",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757541,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"7 3/8 × 4 11/16 in. (18.7 × 11.9 cm)""","The J. Paul Getty Museum, Los Angerles (2004.79.3)",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/757543,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 11 15/16 × 11 1/4 in. (30.3 × 28.6 cm)""","Harris Brisbane Dick Fund, 1948",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/757589,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 11 7/16 × 11 9/16 in. (29 × 29.3 cm)""","Harris Brisbane Dick Fund, 1948",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/757590,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 11 7/16 × 11 9/16 in. (29.1 × 29.3 cm)""","Harris Brisbane Dick Fund, 1948",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/757591,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 8 7/16 × 12 1/4 in. (21.4 × 31.1 cm)""","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1953",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/757592,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
Frame: 9 3/8 × 14 1/4 in. (23.8 × 36.2 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheet: 21 5/16 × 16 5/16 in. (54.2 × 41.5 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Book: 21 7/8 × 16 3/4 × 1 15/16 in. (55.5 × 42.5 × 5 cm)""","Rogers Fund, 1921",,,,,,,,,,,,Books|Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/757593,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 11 1/4 × 11 1/4 in. (28.6 × 28.6 cm)""","Gift of Harry G. Friedman, 1954",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/757598,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
Frame: 9 3/8 × 13 3/16 in. (23.8 × 33.5 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheet: 21 5/16 × 16 5/16 in. (54.2 × 41.5 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Book: 21 7/8 × 16 3/4 × 1 15/16 in. (55.5 × 42.5 × 5 cm)""","Rogers Fund, 1921",,,,,,,,,,,,Books|Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/757599,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 11 9/16 × 11 3/8 in. (29.4 × 28.9 cm)""","Gift of Harry G. Friedman, 1954",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/757600,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 11 7/16 × 11 3/4 in. (29 × 29.8 cm)""","Gift of Harry G. Friedman, 1954",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/757603,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 11 5/8 × 11 5/16 in. (29.5 × 28.7 cm)""","Gift of Harry G. Friedman, 1954",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/757606,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
Frame: 10 3/8 × 14 3/4 in. (26.3 × 37.4 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheet: 21 5/16 × 16 5/16 in. (54.2 × 41.5 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Book: 21 7/8 × 16 3/4 × 1 15/16 in. (55.5 × 42.5 × 5 cm)""","Rogers Fund, 1921",,,,,,,,,,,,Books|Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/757608,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 11 1/4 × 11 1/16 in. (28.5 × 28.1 cm)""","Bequest of Edwin De T. Bechtel, 1957",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/757610,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 11 1/8 × 9 9/16 in. (28.3 × 24.3 cm)""","Bequest of Edwin De T. Bechtel, 1957",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/757612,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
Frame: 10 5/16 × 14 1/16 in. (26.2 × 35.7 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheet: 21 5/16 × 16 5/16 in. (54.2 × 41.5 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Book: 21 7/8 × 16 3/4 × 1 15/16 in. (55.5 × 42.5 × 5 cm)""","Rogers Fund, 1921",,,,,,,,,,,,Books|Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/757616,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 11 1/4 × 10 7/8 in. (28.5 × 27.6 cm)""","Bequest of Edwin De T. Bechtel, 1957",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/757617,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 11 1/8 × 9 5/8 in. (28.2 × 24.4 cm)""","Bequest of Edwin De T. Bechtel, 1957",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/757619,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
Frame: 11 7/8 × 8 3/4 in. (30.2 × 22.3 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheet: 21 5/16 × 16 5/16 in. (54.2 × 41.5 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Book: 21 7/8 × 16 3/4 × 1 15/16 in. (55.5 × 42.5 × 5 cm)""","Rogers Fund, 1921",,,,,,,,,,,,Books|Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/757621,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 14 1/8 × 10 13/16 in. (35.8 × 27.5 cm)""","Gift of Harry G. Friedman, 1960",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/757622,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 12 1/8 × 10 1/16 in. (30.8 × 25.6 cm)""","Gift of Harry G. Friedman, 1960",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/757623,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Estimated diameter 4 3/4 in. (12 cm)""","Gift of J. Pierpont Morgan, 1917",,,,,,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/757663,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Estimated diameter 3 15/16 in. (10 cm)""","Gift of J. Pierpont Morgan, 1917",,,,,,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/757667,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Estimated diameter 5 1/8 in. (13 cm)""","Gift of J. Pierpont Morgan, 1917",,,,,,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/757669,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 11 5/16 × 11 7/16 in. (28.7 × 29 cm)""","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1962",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/757679,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 11 1/4 × 10 5/16 in. (28.6 × 26.2 cm)""","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1962",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/757681,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 11 1/4 × 10 1/4 in. (28.6 × 26 cm)""","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1962",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/757683,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 14 5/8 × 11 11/16 in. (37.2 × 29.7 cm)""","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1962",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/757685,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
